Date,Not indexed,Indexed,Impressions
2026-01-28,,,35
2026-01-29,,,24
2026-01-30,,,29
2026-01-31,67,21,17
2026-02-01,67,21,17
2026-02-02,67,21,40
2026-02-03,67,21,31
2026-02-04,68,24,40
2026-02-05,68,24,41
2026-02-06,68,24,43
2026-02-07,68,24,29
2026-02-08,68,25,41
2026-02-09,68,25,46
2026-02-10,68,25,22
2026-02-11,68,25,50
2026-02-12,68,25,40
2026-02-13,68,25,22
2026-02-14,68,25,32
2026-02-15,67,26,37
2026-02-16,67,26,18
2026-02-17,67,26,36
2026-02-18,68,25,18
2026-02-19,68,25,35
2026-02-20,68,25,33
2026-02-21,68,25,19
2026-02-22,68,25,18
2026-02-23,68,25,17
2026-02-24,68,25,33
2026-02-25,67,25,29
2026-02-26,67,25,36
2026-02-27,67,25,16
2026-02-28,67,25,18
2026-03-01,67,25,32
2026-03-02,67,25,38
2026-03-03,67,25,41
2026-03-04,67,25,40
2026-03-05,67,25,40
2026-03-06,67,25,10
2026-03-07,67,25,23
2026-03-08,67,26,30
2026-03-09,67,26,49
2026-03-10,67,26,41
2026-03-11,68,25,43
2026-03-12,68,25,52
2026-03-13,68,25,22
2026-03-14,68,25,29
2026-03-15,68,25,37
2026-03-16,70,25,49
2026-03-17,70,25,64
2026-03-18,82,29,51
2026-03-19,82,29,49
2026-03-20,82,29,35
2026-03-21,82,29,36
2026-03-22,82,29,64
2026-03-23,82,29,65
2026-03-24,82,29,85
2026-03-25,82,29,70
2026-03-26,82,29,84
2026-03-27,82,29,45
2026-03-28,82,29,44
2026-03-29,82,29,46
2026-03-30,82,29,127
2026-03-31,82,29,93
2026-04-01,82,29,65
2026-04-02,82,29,61
2026-04-03,82,29,55
2026-04-04,82,29,24
2026-04-05,80,32,34
2026-04-06,80,32,46
2026-04-07,79,32,29
2026-04-08,79,32,28
2026-04-09,79,32,16
2026-04-10,79,32,8
2026-04-11,80,31,7
2026-04-12,80,31,39
2026-04-13,80,31,21
2026-04-14,80,31,21
2026-04-15,80,31,17
2026-04-16,80,31,33
2026-04-17,80,31,18
2026-04-18,79,31,13
2026-04-19,79,31,30
2026-04-20,79,31,31
2026-04-21,78,31,33
2026-04-22,78,31,47
2026-04-23,78,31,23
2026-04-24,78,31,35
